Timestamp,Temperature,SpO2,BPM
2025-04-19 20:44:18,39.3,96,92
2025-04-19 20:44:48,38.6,96,82
2025-04-19 20:45:18,39.2,100,67
2025-04-19 20:45:48,38.7,100,67
2025-04-19 20:46:18,38.6,95,80
2025-04-19 20:46:48,39.0,98,77
2025-04-19 20:47:18,39.0,95,66
2025-04-19 20:47:48,38.5,98,88
2025-04-19 20:48:18,39.1,95,91
2025-04-19 20:48:48,38.5,98,74
2025-04-19 20:49:18,39.5,98,91
2025-04-19 20:49:48,39.1,96,69
2025-04-19 20:50:18,39.4,99,88
2025-04-19 20:50:48,38.8,100,74
2025-04-19 20:51:18,39.4,96,77
2025-04-19 20:51:48,38.9,100,66
2025-04-19 20:52:18,39.3,96,88
2025-04-19 20:52:48,38.7,95,68
2025-04-19 20:53:18,39.2,95,83
2025-04-19 20:53:48,39.0,95,69
2025-04-19 20:54:18,38.6,98,79
2025-04-19 20:54:48,38.7,96,94
2025-04-19 20:55:18,39.4,98,84
2025-04-19 20:55:48,39.4,97,87
2025-04-19 20:56:18,39.1,99,94
2025-04-19 20:56:48,39.1,96,76
2025-04-19 20:57:18,38.5,100,90
2025-04-19 20:57:48,39.4,98,91
2025-04-19 20:58:18,38.6,99,85
2025-04-19 20:58:48,39.2,100,85
2025-04-19 20:59:18,39.3,98,76
2025-04-19 20:59:48,39.4,97,88
2025-04-19 21:00:18,39.2,100,71
2025-04-19 21:00:48,38.9,99,83
2025-04-19 21:01:18,38.7,99,76
2025-04-19 21:01:48,39.3,97,84
2025-04-19 21:02:18,38.9,97,95
2025-04-19 21:02:48,38.7,95,77
2025-04-19 21:03:18,39.4,95,88
2025-04-19 21:03:48,39.2,98,92
2025-04-19 21:04:18,39.4,100,86
2025-04-19 21:04:48,39.3,100,82
2025-04-19 21:05:18,39.1,96,88
2025-04-19 21:05:48,39.1,100,84
2025-04-19 21:06:18,39.3,100,76
2025-04-19 21:06:48,39.3,97,84
2025-04-19 21:07:18,39.3,95,66
2025-04-19 21:07:48,39.2,95,84
2025-04-19 21:08:18,38.7,98,93
2025-04-19 21:08:48,38.5,95,88
2025-04-19 21:09:18,38.8,97,73
2025-04-19 21:09:48,38.8,98,89
2025-04-19 21:10:18,38.6,97,81
2025-04-19 21:10:48,38.6,95,73
2025-04-19 21:11:18,39.0,97,76
2025-04-19 21:11:48,39.4,95,79
2025-04-19 21:12:18,39.1,99,78
2025-04-19 21:12:48,38.7,96,77
2025-04-19 21:13:18,38.8,99,75
2025-04-19 21:13:48,38.6,95,81
2025-04-19 21:14:18,38.7,100,83
2025-04-19 21:14:48,38.5,96,74
2025-04-19 21:15:18,38.8,97,86
2025-04-19 21:15:48,39.1,95,76
2025-04-19 21:16:18,39.3,96,90
2025-04-19 21:16:48,39.2,97,82
2025-04-19 21:17:18,39.4,96,67
2025-04-19 21:17:48,39.0,95,90
2025-04-19 21:18:18,39.3,98,77
2025-04-19 21:18:48,38.6,97,85
2025-04-19 21:19:18,39.1,97,92
2025-04-19 21:19:48,38.5,97,82
2025-04-19 21:20:18,39.5,99,74
2025-04-19 21:20:48,39.1,97,72
2025-04-19 21:21:18,38.9,99,82
2025-04-19 21:21:48,39.4,97,69
2025-04-19 21:22:18,39.3,96,92
2025-04-19 21:22:48,38.9,95,70
2025-04-19 21:23:18,38.7,96,89
2025-04-19 21:23:48,38.5,98,67
2025-04-19 21:24:18,38.8,100,88
2025-04-19 21:24:48,38.8,100,86
2025-04-19 21:25:18,39.2,97,68
2025-04-19 21:25:48,39.1,100,87
2025-04-19 21:26:18,39.3,96,94
2025-04-19 21:26:48,39.3,95,76
2025-04-19 21:27:18,39.3,100,94
2025-04-19 21:27:48,38.9,96,94
2025-04-19 21:28:18,39.3,96,93
2025-04-19 21:28:48,39.3,99,86
2025-04-19 21:29:18,39.1,100,85
2025-04-19 21:29:48,39.1,95,93
2025-04-19 21:30:18,38.8,100,69
2025-04-19 21:30:48,38.9,100,68
2025-04-19 21:31:18,39.1,98,71
2025-04-19 21:31:48,39.2,100,95
2025-04-19 21:32:18,39.0,100,76
2025-04-19 21:32:48,38.8,95,66
2025-04-19 21:33:18,39.4,99,65
2025-04-19 21:33:48,38.9,97,82
2025-04-19 21:34:18,39.4,96,94
2025-04-19 21:34:48,39.2,100,93
2025-04-19 21:35:18,38.8,99,85
2025-04-19 21:35:48,39.1,96,92
2025-04-19 21:36:18,39.2,99,70
2025-04-19 21:36:48,38.7,96,94
2025-04-19 21:37:18,39.3,99,77
2025-04-19 21:37:48,39.4,97,73
2025-04-19 21:38:18,39.0,96,91
2025-04-19 21:38:48,39.1,97,77
2025-04-19 21:39:18,39.2,100,85
2025-04-19 21:39:48,38.7,95,68
2025-04-19 21:40:18,38.6,96,77
2025-04-19 21:40:48,39.5,95,91
2025-04-19 21:41:18,39.5,96,68
2025-04-19 21:41:48,39.4,98,94
2025-04-19 21:42:18,38.7,96,94
2025-04-19 21:42:48,38.7,96,92
2025-04-19 21:43:18,38.7,100,91
2025-04-19 21:43:48,38.6,97,91
2025-04-19 21:44:18,38.6,97,91
2025-04-19 21:44:48,39.2,99,87
2025-04-19 21:45:18,39.2,99,69
2025-04-19 21:45:48,38.5,97,75
2025-04-19 21:46:18,39.3,95,72
2025-04-19 21:46:48,39.0,98,71
2025-04-19 21:47:18,38.5,96,86
2025-04-19 21:47:48,38.8,99,86
2025-04-19 21:48:18,38.9,95,76
2025-04-19 21:48:48,39.0,97,85
2025-04-19 21:49:18,38.6,95,83
2025-04-19 21:49:48,39.2,100,73
2025-04-19 21:50:18,38.9,97,94
2025-04-19 21:50:48,39.4,95,76
2025-04-19 21:51:18,38.7,98,88
2025-04-19 21:51:48,38.6,97,76
2025-04-19 21:52:18,38.9,100,66
2025-04-19 21:52:48,38.5,99,85
2025-04-19 21:53:18,39.2,99,68
2025-04-19 21:53:48,39.2,96,69
2025-04-19 21:54:18,38.9,100,68
2025-04-19 21:54:48,38.9,98,79
2025-04-19 21:55:18,39.2,100,79
2025-04-19 21:55:48,39.2,95,80
2025-04-19 21:56:18,38.6,98,91
2025-04-19 21:56:48,39.3,96,83
2025-04-19 21:57:18,38.8,97,84
