Timestamp,Temperature,SpO2,BPM
2025-04-19 20:38:22,38.5,97,75
2025-04-19 20:38:52,38.2,100,49
2025-04-19 20:39:22,39.2,99,58
2025-04-19 20:39:52,38.0,98,76
2025-04-19 20:40:22,39.1,97,69
2025-04-19 20:40:52,39.3,100,80
2025-04-19 20:41:22,38.5,97,68
2025-04-19 20:41:52,39.2,95,58
2025-04-19 20:42:22,39.0,95,63
2025-04-19 20:42:52,38.4,98,50
2025-04-19 20:43:22,38.2,95,54
2025-04-19 20:43:52,38.8,100,48
2025-04-19 20:44:22,39.2,96,81
2025-04-19 20:44:52,38.9,99,57
2025-04-19 20:45:22,38.9,98,52
2025-04-19 20:45:52,38.1,98,55
2025-04-19 20:46:22,38.7,100,64
2025-04-19 20:46:52,38.2,97,69
2025-04-19 20:47:22,39.2,97,67
2025-04-19 20:47:52,39.2,100,73
2025-04-19 20:48:22,39.0,99,75
2025-04-19 20:48:52,38.5,98,48
2025-04-19 20:49:22,38.1,98,73
2025-04-19 20:49:52,38.8,98,79
2025-04-19 20:50:22,38.8,100,67
2025-04-19 20:50:52,38.1,95,80
2025-04-19 20:51:22,38.8,95,70
2025-04-19 20:51:52,38.7,95,55
2025-04-19 20:52:22,39.3,96,49
2025-04-19 20:52:52,38.5,98,59
2025-04-19 20:53:22,38.7,100,62
2025-04-19 20:53:52,38.7,95,81
2025-04-19 20:54:22,38.2,95,56
2025-04-19 20:54:52,38.9,97,59
2025-04-19 20:55:22,38.0,98,79
2025-04-19 20:55:52,38.1,100,59
2025-04-19 20:56:22,38.9,97,64
2025-04-19 20:56:52,38.4,96,62
2025-04-19 20:57:22,38.6,99,69
2025-04-19 20:57:52,38.9,98,75
2025-04-19 20:58:22,38.8,100,69
2025-04-19 20:58:52,39.0,95,78
2025-04-19 20:59:22,39.2,96,70
2025-04-19 20:59:52,38.8,97,54
2025-04-19 21:00:22,38.9,98,50
2025-04-19 21:00:52,39.1,97,81
2025-04-19 21:01:22,38.5,97,67
2025-04-19 21:01:52,39.2,95,74
2025-04-19 21:02:22,38.6,97,48
2025-04-19 21:02:52,38.7,99,65
2025-04-19 21:03:22,38.9,100,59
2025-04-19 21:03:52,38.1,99,79
2025-04-19 21:04:22,39.2,99,51
2025-04-19 21:04:52,38.4,98,84
2025-04-19 21:05:22,38.5,95,62
2025-04-19 21:05:52,38.6,100,82
2025-04-19 21:06:22,38.7,100,53
2025-04-19 21:06:52,38.9,99,58
2025-04-19 21:07:22,39.0,99,52
2025-04-19 21:07:52,38.6,95,68
2025-04-19 21:08:22,38.8,100,49
2025-04-19 21:08:52,38.3,96,65
2025-04-19 21:09:22,38.6,98,70
2025-04-19 21:09:52,38.7,98,75
2025-04-19 21:10:22,39.2,99,82
2025-04-19 21:10:52,38.0,96,59
2025-04-19 21:11:22,39.0,96,74
2025-04-19 21:11:52,38.6,96,48
2025-04-19 21:12:22,38.7,98,70
2025-04-19 21:12:52,39.2,100,56
2025-04-19 21:13:22,39.1,100,75
2025-04-19 21:13:52,38.6,98,52
2025-04-19 21:14:22,38.9,98,67
2025-04-19 21:14:52,38.3,100,57
