Timestamp,Temperature,SpO2,BPM
2025-04-19 20:39:35,39.5,82,98
2025-04-19 20:40:05,39.8,82,99
2025-04-19 20:40:35,38.2,84,121
2025-04-19 20:41:05,38.6,80,100
2025-04-19 20:41:35,39.9,85,99
2025-04-19 20:42:05,39.7,91,128
2025-04-19 20:42:35,39.2,83,96
2025-04-19 20:43:05,39.1,93,97
2025-04-19 20:43:35,38.7,84,99
2025-04-19 20:44:05,38.1,82,99
2025-04-19 20:44:35,40.3,88,86
2025-04-19 20:45:05,38.8,84,103
2025-04-19 20:45:35,38.3,88,115
2025-04-19 20:46:05,39.6,93,102
2025-04-19 20:46:35,38.1,89,106
2025-04-19 20:47:05,39.6,81,88
2025-04-19 20:47:35,38.1,86,94
2025-04-19 20:48:05,39.1,94,87
2025-04-19 20:48:35,38.7,91,93
2025-04-19 20:49:05,38.1,86,108
2025-04-19 20:49:35,40.2,83,104
2025-04-19 20:50:05,39.5,91,105
2025-04-19 20:50:35,40.1,83,125
2025-04-19 20:51:05,39.6,92,91
2025-04-19 20:51:35,38.5,93,125
2025-04-19 20:52:05,39.7,87,111
2025-04-19 20:52:35,39.9,92,111
2025-04-19 20:53:05,38.1,94,112
2025-04-19 20:53:35,39.6,84,128
2025-04-19 20:54:05,40.3,85,114
2025-04-19 20:54:35,38.3,92,124
2025-04-19 20:55:05,39.2,85,126
2025-04-19 20:55:35,38.2,87,105
2025-04-19 20:56:05,38.8,93,98
2025-04-19 20:56:35,39.0,88,91
2025-04-19 20:57:05,38.9,85,127
2025-04-19 20:57:35,38.1,85,107
2025-04-19 20:58:05,39.6,92,100
2025-04-19 20:58:35,39.4,88,89
2025-04-19 20:59:05,39.2,94,100
2025-04-19 20:59:35,38.3,94,90
2025-04-19 21:00:05,40.0,84,106
2025-04-19 21:00:35,38.0,93,119
2025-04-19 21:01:05,39.7,81,100
2025-04-19 21:01:35,40.5,86,97
2025-04-19 21:02:05,38.1,93,129
2025-04-19 21:02:35,40.2,85,117
2025-04-19 21:03:05,40.3,81,116
2025-04-19 21:03:35,38.5,81,93
2025-04-19 21:04:05,38.5,80,88
2025-04-19 21:04:35,38.5,92,126
2025-04-19 21:05:05,40.2,86,120
2025-04-19 21:05:35,39.6,88,121
2025-04-19 21:06:05,40.2,85,121
2025-04-19 21:06:35,38.1,91,128
2025-04-19 21:07:05,39.7,83,97
2025-04-19 21:07:35,38.1,87,125
2025-04-19 21:08:05,40.3,92,118
2025-04-19 21:08:35,40.5,90,107
2025-04-19 21:09:05,38.6,89,96
2025-04-19 21:09:35,39.9,91,127
2025-04-19 21:10:05,40.2,83,122
2025-04-19 21:10:35,38.3,92,99
2025-04-19 21:11:05,39.2,83,101
