Timestamp,Temperature,SpO2,BPM
2025-04-19 20:40:50,40.3,80,88
2025-04-19 20:41:20,39.3,74,83
2025-04-19 20:41:50,38.5,77,77
2025-04-19 20:42:20,39.0,80,105
2025-04-19 20:42:50,39.7,75,105
2025-04-19 20:43:20,40.4,74,75
2025-04-19 20:43:50,39.2,77,66
2025-04-19 20:44:20,39.8,73,97
2025-04-19 20:44:50,38.7,82,78
2025-04-19 20:45:20,39.9,75,74
2025-04-19 20:45:50,38.5,70,76
2025-04-19 20:46:20,40.4,74,73
2025-04-19 20:46:50,39.6,71,88
2025-04-19 20:47:20,40.8,81,76
2025-04-19 20:47:50,39.6,91,107
2025-04-19 20:48:20,40.7,80,64
2025-04-19 20:48:50,39.3,87,61
2025-04-19 20:49:20,39.7,91,90
2025-04-19 20:49:50,38.7,88,97
2025-04-19 20:50:20,39.6,91,68
2025-04-19 20:50:50,38.7,86,68
2025-04-19 20:51:20,39.6,83,74
2025-04-19 20:51:50,40.8,83,99
2025-04-19 20:52:20,39.7,78,64
2025-04-19 20:52:50,39.4,70,70
2025-04-19 20:53:20,40.1,90,65
2025-04-19 20:53:50,39.3,90,98
2025-04-19 20:54:20,39.3,76,104
2025-04-19 20:54:50,38.7,81,73
2025-04-19 20:55:20,38.8,75,103
2025-04-19 20:55:50,38.6,81,81
2025-04-19 20:56:20,40.2,78,92
2025-04-19 20:56:50,39.6,82,64
2025-04-19 20:57:20,39.8,87,98
2025-04-19 20:57:50,40.6,75,109
2025-04-19 20:58:20,40.9,79,80
2025-04-19 20:58:50,40.5,82,102
2025-04-19 20:59:20,40.7,76,100
2025-04-19 20:59:50,40.7,72,101
2025-04-19 21:00:20,40.3,79,107
2025-04-19 21:00:50,39.4,81,87
2025-04-19 21:01:20,40.6,90,72
2025-04-19 21:01:50,39.7,86,85
2025-04-19 21:02:20,38.8,80,84
2025-04-19 21:02:50,39.7,75,94
2025-04-19 21:03:20,40.5,84,72
2025-04-19 21:03:50,38.5,71,60
2025-04-19 21:04:20,39.1,88,84
2025-04-19 21:04:50,39.5,78,83
2025-04-19 21:05:20,40.0,81,76
2025-04-19 21:05:50,41.0,91,76
2025-04-19 21:06:20,39.5,74,84
2025-04-19 21:06:50,40.5,91,106
2025-04-19 21:07:20,39.1,82,105
2025-04-19 21:07:50,40.3,72,86
2025-04-19 21:08:20,40.7,80,99
2025-04-19 21:08:50,38.7,75,83
2025-04-19 21:09:20,40.3,86,86
2025-04-19 21:09:50,39.6,80,81
2025-04-19 21:10:20,40.0,91,88
2025-04-19 21:10:50,38.9,82,64
2025-04-19 21:11:20,38.7,74,93
2025-04-19 21:11:50,39.6,72,86
2025-04-19 21:12:20,39.4,75,98
2025-04-19 21:12:50,40.8,77,110
2025-04-19 21:13:20,40.6,83,75
2025-04-19 21:13:50,41.0,79,73
2025-04-19 21:14:20,39.4,83,102
2025-04-19 21:14:50,40.6,72,74
2025-04-19 21:15:20,38.9,86,93
2025-04-19 21:15:50,40.5,74,69
2025-04-19 21:16:20,40.8,72,81
2025-04-19 21:16:50,39.3,74,80
2025-04-19 21:17:20,38.8,76,86
2025-04-19 21:17:50,41.0,82,72
2025-04-19 21:18:20,40.0,79,100
2025-04-19 21:18:50,39.2,91,88
2025-04-19 21:19:20,39.4,86,66
2025-04-19 21:19:50,39.6,81,85
2025-04-19 21:20:20,39.6,70,79
2025-04-19 21:20:50,38.8,92,108
2025-04-19 21:21:20,40.2,80,62
2025-04-19 21:21:50,40.2,75,96
2025-04-19 21:22:20,40.7,91,69
2025-04-19 21:22:50,40.8,72,109
2025-04-19 21:23:20,38.8,90,75
2025-04-19 21:23:50,40.1,89,82
2025-04-19 21:24:20,40.4,84,79
2025-04-19 21:24:50,39.9,88,70
2025-04-19 21:25:20,40.4,74,60
2025-04-19 21:25:50,39.0,89,63
2025-04-19 21:26:20,40.8,80,106
2025-04-19 21:26:50,40.4,86,70
2025-04-19 21:27:20,39.8,75,104
2025-04-19 21:27:50,40.2,82,104
2025-04-19 21:28:20,39.8,84,73
2025-04-19 21:28:50,39.8,85,60
2025-04-19 21:29:20,38.8,76,91
2025-04-19 21:29:50,39.3,80,80
2025-04-19 21:30:20,40.7,83,60
2025-04-19 21:30:50,38.6,87,93
2025-04-19 21:31:20,39.1,84,85
2025-04-19 21:31:50,39.6,87,60
2025-04-19 21:32:20,40.4,87,87
2025-04-19 21:32:50,39.6,78,77
2025-04-19 21:33:20,40.5,90,94
2025-04-19 21:33:50,40.7,78,97
2025-04-19 21:34:20,39.9,92,100
2025-04-19 21:34:50,40.1,84,93
2025-04-19 21:35:20,40.3,76,110
2025-04-19 21:35:50,39.6,89,75
2025-04-19 21:36:20,40.7,75,74
2025-04-19 21:36:50,39.3,85,70
2025-04-19 21:37:20,40.0,74,98
2025-04-19 21:37:50,40.8,73,72
2025-04-19 21:38:20,39.0,78,83
2025-04-19 21:38:50,38.9,76,82
2025-04-19 21:39:20,39.2,83,96
2025-04-19 21:39:50,40.0,78,103
2025-04-19 21:40:20,40.5,73,73
2025-04-19 21:40:50,39.8,87,101
2025-04-19 21:41:20,38.5,83,67
2025-04-19 21:41:50,38.7,89,80
2025-04-19 21:42:20,40.5,72,80
2025-04-19 21:42:50,39.3,91,97
2025-04-19 21:43:20,39.1,85,96
2025-04-19 21:43:50,39.2,76,63
2025-04-19 21:44:20,39.1,86,60
2025-04-19 21:44:50,38.6,85,81
2025-04-19 21:45:20,40.6,87,110
2025-04-19 21:45:50,40.1,87,108
2025-04-19 21:46:20,40.4,90,90
2025-04-19 21:46:50,40.0,83,64
2025-04-19 21:47:20,39.8,75,96
2025-04-19 21:47:50,39.7,88,94
2025-04-19 21:48:20,39.5,85,91
2025-04-19 21:48:50,41.0,86,98
2025-04-19 21:49:20,39.0,82,84
2025-04-19 21:49:50,40.0,87,109
2025-04-19 21:50:20,40.1,90,94
2025-04-19 21:50:50,39.7,75,61
2025-04-19 21:51:20,40.2,84,80
2025-04-19 21:51:50,39.2,89,78
2025-04-19 21:52:20,39.4,88,97
2025-04-19 21:52:50,39.5,78,76
2025-04-19 21:53:20,40.8,83,83
2025-04-19 21:53:50,40.8,89,108
2025-04-19 21:54:20,39.4,78,96
2025-04-19 21:54:50,40.6,73,98
2025-04-19 21:55:20,39.8,78,90
2025-04-19 21:55:50,40.7,87,60
2025-04-19 21:56:20,40.1,89,89
2025-04-19 21:56:50,38.5,71,89
2025-04-19 21:57:20,40.5,73,65
2025-04-19 21:57:50,39.3,77,75
2025-04-19 21:58:20,40.1,88,92
2025-04-19 21:58:50,40.5,91,61
2025-04-19 21:59:20,40.6,83,64
2025-04-19 21:59:50,39.3,91,98
2025-04-19 22:00:20,40.3,76,93
2025-04-19 22:00:50,39.4,85,98
2025-04-19 22:01:20,39.9,70,110
2025-04-19 22:01:50,40.7,85,85
2025-04-19 22:02:20,41.0,80,77
2025-04-19 22:02:50,40.4,83,88
2025-04-19 22:03:20,38.9,70,101
2025-04-19 22:03:50,40.2,85,103
2025-04-19 22:04:20,40.7,91,91
2025-04-19 22:04:50,40.8,85,69
2025-04-19 22:05:20,39.8,85,78
2025-04-19 22:05:50,41.0,87,110
2025-04-19 22:06:20,39.4,77,92
2025-04-19 22:06:50,39.6,88,75
2025-04-19 22:07:20,38.6,82,108
2025-04-19 22:07:50,39.3,83,89
2025-04-19 22:08:20,39.7,80,62
2025-04-19 22:08:50,38.6,72,89
2025-04-19 22:09:20,38.7,70,68
2025-04-19 22:09:50,41.0,75,72
2025-04-19 22:10:20,40.7,86,104
2025-04-19 22:10:50,39.9,81,91
2025-04-19 22:11:20,39.2,71,82
2025-04-19 22:11:50,40.9,84,60
2025-04-19 22:12:20,39.3,84,69
2025-04-19 22:12:50,40.1,82,78
2025-04-19 22:13:20,40.3,75,77
2025-04-19 22:13:50,40.6,88,73
2025-04-19 22:14:20,40.3,76,102
2025-04-19 22:14:50,40.8,77,71
2025-04-19 22:15:20,40.1,81,110
2025-04-19 22:15:50,39.4,84,86
2025-04-19 22:16:20,39.2,89,91
2025-04-19 22:16:50,40.0,88,70
2025-04-19 22:17:20,40.6,87,72
2025-04-19 22:17:50,38.8,89,62
2025-04-19 22:18:20,39.1,76,62
2025-04-19 22:18:50,38.9,77,65
2025-04-19 22:19:20,38.7,70,67
2025-04-19 22:19:50,38.8,78,102
2025-04-19 22:20:20,40.4,70,72
2025-04-19 22:20:50,38.7,83,72
2025-04-19 22:21:20,39.4,89,78
2025-04-19 22:21:50,40.0,77,83
2025-04-19 22:22:20,40.5,70,78
2025-04-19 22:22:50,40.2,89,65
2025-04-19 22:23:20,39.3,90,99
2025-04-19 22:23:50,39.4,71,60
2025-04-19 22:24:20,39.3,70,88
2025-04-19 22:24:50,40.9,73,99
2025-04-19 22:25:20,38.8,75,83
2025-04-19 22:25:50,38.9,73,109
2025-04-19 22:26:20,40.2,77,73
2025-04-19 22:26:50,40.5,81,65
2025-04-19 22:27:20,39.1,78,63
2025-04-19 22:27:50,40.5,73,104
2025-04-19 22:28:20,39.8,86,104
2025-04-19 22:28:50,39.5,70,82
2025-04-19 22:29:20,38.9,81,104
2025-04-19 22:29:50,40.7,83,87
2025-04-19 22:30:20,38.8,85,63
2025-04-19 22:30:50,39.4,88,101
2025-04-19 22:31:20,39.9,76,94
2025-04-19 22:31:50,39.3,86,92
2025-04-19 22:32:20,40.9,86,70
2025-04-19 22:32:50,40.6,87,70
2025-04-19 22:33:20,40.2,77,77
2025-04-19 22:33:50,40.6,84,80
2025-04-19 22:34:20,38.5,72,86
2025-04-19 22:34:50,40.5,78,68
2025-04-19 22:35:20,39.9,84,110
2025-04-19 22:35:50,40.4,76,108
2025-04-19 22:36:20,39.7,92,103
2025-04-19 22:36:50,40.5,76,104
2025-04-19 22:37:20,38.6,78,105
2025-04-19 22:37:50,39.5,88,83
2025-04-19 22:38:20,40.0,84,102
2025-04-19 22:38:50,41.0,78,63
2025-04-19 22:39:20,39.8,83,69
2025-04-19 22:39:50,39.0,87,62
2025-04-19 22:40:20,39.4,84,68
2025-04-19 22:40:50,39.4,74,102
2025-04-19 22:41:20,39.8,90,75
2025-04-19 22:41:50,40.9,87,103
2025-04-19 22:42:20,40.2,87,65
2025-04-19 22:42:50,39.8,71,74
2025-04-19 22:43:20,39.3,87,85
2025-04-19 22:43:50,38.7,78,72
2025-04-19 22:44:20,38.8,82,71
2025-04-19 22:44:50,39.4,72,71
2025-04-19 22:45:20,40.4,90,110
2025-04-19 22:45:50,39.1,71,95
2025-04-19 22:46:20,39.5,80,102
2025-04-19 22:46:50,40.7,74,107
2025-04-19 22:47:20,39.6,79,62
2025-04-19 22:47:50,40.7,71,85
2025-04-19 22:48:20,40.4,72,101
2025-04-19 22:48:50,38.8,89,77
2025-04-19 22:49:20,38.9,79,84
2025-04-19 22:49:50,39.9,74,100
2025-04-19 22:50:20,40.9,85,80
2025-04-19 22:50:50,40.3,78,66
2025-04-19 22:51:20,40.2,89,73
2025-04-19 22:51:50,39.1,84,62
2025-04-19 22:52:20,40.6,92,60
2025-04-19 22:52:50,40.7,84,103
2025-04-19 22:53:20,38.6,86,77
2025-04-19 22:53:50,39.1,81,98
2025-04-19 22:54:20,39.6,71,75
2025-04-19 22:54:50,38.9,85,79
2025-04-19 22:55:20,39.3,70,71
2025-04-19 22:55:50,39.3,70,98
2025-04-19 22:56:20,39.0,74,101
2025-04-19 22:56:50,40.7,82,83
2025-04-19 22:57:20,41.0,76,85
2025-04-19 22:57:50,39.2,80,110
2025-04-19 22:58:20,40.7,87,81
2025-04-19 22:58:50,40.1,70,70
2025-04-19 22:59:20,38.8,92,106
2025-04-19 22:59:50,38.8,78,69
2025-04-19 23:00:20,40.1,92,60
2025-04-19 23:00:50,39.9,83,76
2025-04-19 23:01:20,39.2,85,93
2025-04-19 23:01:50,40.4,71,79
2025-04-19 23:02:20,38.5,86,109
2025-04-19 23:02:50,39.4,87,87
2025-04-19 23:03:20,39.8,72,90
2025-04-19 23:03:50,40.2,87,77
2025-04-19 23:04:20,39.2,91,75
2025-04-19 23:04:50,40.4,83,61
2025-04-19 23:05:20,41.0,79,66
2025-04-19 23:05:50,39.9,82,86
2025-04-19 23:06:20,40.5,89,97
2025-04-19 23:06:50,40.9,78,89
2025-04-19 23:07:20,41.0,92,82
2025-04-19 23:07:50,38.9,79,60
2025-04-19 23:08:20,39.2,85,72
2025-04-19 23:08:50,40.5,70,93
2025-04-19 23:09:20,40.6,92,106
2025-04-19 23:09:50,39.9,90,78
2025-04-19 23:10:20,38.8,82,81
2025-04-19 23:10:50,39.2,85,92
2025-04-19 23:11:20,40.2,84,71
2025-04-19 23:11:50,40.5,76,103
2025-04-19 23:12:20,40.0,75,88
2025-04-19 23:12:50,38.7,81,85
2025-04-19 23:13:20,40.2,77,100
2025-04-19 23:13:50,39.6,85,61
2025-04-19 23:14:20,39.3,72,85
2025-04-19 23:14:50,40.3,80,100
2025-04-19 23:15:20,38.7,79,100
2025-04-19 23:15:50,39.5,84,96
2025-04-19 23:16:20,39.1,88,69
2025-04-19 23:16:50,40.9,85,109
2025-04-19 23:17:20,40.9,87,85
2025-04-19 23:17:50,40.5,83,102
2025-04-19 23:18:20,39.1,78,97
2025-04-19 23:18:50,39.3,84,107
2025-04-19 23:19:20,39.5,90,73
2025-04-19 23:19:50,39.0,87,101
2025-04-19 23:20:20,40.4,89,77
2025-04-19 23:20:50,40.5,70,104
2025-04-19 23:21:20,40.2,84,64
2025-04-19 23:21:50,39.6,83,90
2025-04-19 23:22:20,39.7,91,75
2025-04-19 23:22:50,39.5,78,62
2025-04-19 23:23:20,39.1,80,90
2025-04-19 23:23:50,39.0,85,64
2025-04-19 23:24:20,40.5,82,95
2025-04-19 23:24:50,40.1,74,107
2025-04-19 23:25:20,39.4,75,87
2025-04-19 23:25:50,39.6,90,96
2025-04-19 23:26:20,39.7,86,80
2025-04-19 23:26:50,39.0,83,77
2025-04-19 23:27:20,39.0,78,69
2025-04-19 23:27:50,40.5,81,85
2025-04-19 23:28:20,38.6,79,62
2025-04-19 23:28:50,39.3,91,107
2025-04-19 23:29:20,39.5,70,99
2025-04-19 23:29:50,40.5,82,75
2025-04-19 23:30:20,39.2,92,109
2025-04-19 23:30:50,40.5,85,97
2025-04-19 23:31:20,39.4,72,95
2025-04-19 23:31:50,40.8,74,75
2025-04-19 23:32:20,38.6,70,70
2025-04-19 23:32:50,39.0,71,89
2025-04-19 23:33:20,38.8,73,96
2025-04-19 23:33:50,39.3,74,65
2025-04-19 23:34:20,40.0,73,93
2025-04-19 23:34:50,40.2,77,101
2025-04-19 23:35:20,39.4,81,92
2025-04-19 23:35:50,39.3,78,95
2025-04-19 23:36:20,39.9,70,76
2025-04-19 23:36:50,39.4,91,90
2025-04-19 23:37:20,39.6,85,81
2025-04-19 23:37:50,39.3,90,74
2025-04-19 23:38:20,39.4,79,87
2025-04-19 23:38:50,39.5,89,102
2025-04-19 23:39:20,41.0,91,95
2025-04-19 23:39:50,40.5,90,109
2025-04-19 23:40:20,39.6,91,102
2025-04-19 23:40:50,39.1,87,107
2025-04-19 23:41:20,40.1,86,64
2025-04-19 23:41:50,41.0,70,110
2025-04-19 23:42:20,39.3,86,62
2025-04-19 23:42:50,38.9,85,92
2025-04-19 23:43:20,39.4,89,83
2025-04-19 23:43:50,39.9,77,107
